id,detail_url,original_location,title,address_raw,address_normalized,street,ward,district_detail,province_detail,address_source,validation_status,address_category,crawl_status,crawl_error
185030,https://batdongsan.vn/ban-nha-3-tang-nghia-phat-vuong-vuc-hem-3m-hon-2-ty-r185030,"Tân Bình, Hồ Chí Minh","Bán nhà 3 tầng Nghĩa Phát, vuông vức hẻm 3m, hơn 2 tỷ",hẻm 3m,hẻm 3m,Hẻm 3M Bán Nhà 3 Tầng Nghĩa Phát,,Tân Bình,Hồ Chí Minh,title,consistent,alley_or_lane,success,
187821,https://batdongsan.vn/ban-nha-3-tang-gan-mat-tien-pham-the-hien-p5-q8-r187821,"Quận 8, Hồ Chí Minh",Bán nhà 3 tầng gần mặt tiền Phạm Thế Hiển P5 Q8,"Hẻm trước nhà 3m, cách Phạm Thế Hiển 20m, cách Bông Sao 30m","Hẻm trước nhà 3m, cách Phạm Thế Hiển 20m, cách Bông Sao 30m",Hẻm Trước Nhà 3M,,Quận 8,Hồ Chí Minh,dedicated_address,consistent,alley_or_lane,success,
120819,https://batdongsan.vn/cuc-ngon-nha-moi-nguyen-van-nghi-p7-go-vap-2-tang-r120819,"Gò Vấp, Hồ Chí Minh",CỰC NGON NHÀ MỚI NGUYỄN VĂN NGHI P7 GÒ VẤP - 2 TẦNG,"Nằm trên trục đường Nguyễn Văn Nghi, giáp Bình Thạnh Phú Nhuận, cách chợ Gò Vấp và Trường Đại học Công Nghiệp 300m - cách sân bay 1km","Nằm trên trục đường Nguyễn Văn Nghi, giáp Bình Thạnh Phú Nhuận, cách chợ Gò Vấp và Trường Đại học Công Nghiệp 300m - cách sân bay 1km",Đường Nguyễn Văn Nghi,,Gò Vấp,Hồ Chí Minh,dedicated_address,consistent,street_only,success,
121772,https://batdongsan.vn/mat-tien-kinh-doanh-ngay-go-xoai-lo-tu-52m2-3-tang-4pn-gia-chi-515-ty-r121772,"Bình Tân, Hồ Chí Minh",MẶT TIỀN KINH DOANH NGAY GÒ XOÀI - LÔ TƯ - 52M2 - 3 TẦNG 4PN - GIÁ CHỈ 5.15 TỶ,MẶT TIỀN KINH DOANH NGAY GÒ XOÀI - LÔ TƯ - 52M2 - 3 TẦNG 4PN - GIÁ CHỈ 5.15 TỶ,MẶT TIỀN KINH DOANH NGAY GÒ XOÀI - LÔ TƯ - 52M2 - 3 TẦNG 4PN - GIÁ CHỈ 5.15 TỶ,Mặt Tiền Kinh Doanh Ngay Gò Xoài,,Bình Tân,Hồ Chí Minh,title,consistent,street_only,success,
134890,https://batdongsan.vn/gap-ban-can-goc-75x35-2mt-duong-thi-muoi-q12-gia-16-ty-gan-bv-quan-12-r134890,"Quận 12, Hồ Chí Minh","GẤP BÁN CĂN GÓC (7.5x35) 2MT DƯƠNG THỊ MƯỜI, Q12 GIÁ 16 TỶ (GẦN BV QUẬN 12)","GẤP BÁN CĂN GÓC (7.5x35) 2MT DƯƠNG THỊ MƯỜI, Q12 GIÁ 16 TỶ (GẦN BV QUẬN 12)","GẤP BÁN CĂN GÓC (7.5x35) 2MT DƯƠNG THỊ MƯỜI, Q12 GIÁ 16 TỶ (GẦN BV QUẬN 12)","2Mt Dương Thị Mười, Q12 Giá",,Quận 12,Hồ Chí Minh,description,consistent,street_only,success,
89162,https://batdongsan.vn/ban-biet-thu-rong-230m2-p-tan-phu-quan-9-cu-gia-125-ty-r259332,"Quận 9, Hồ Chí Minh","Bán biệt thự rộng 230m2, P. Tân Phú Quận 9 cũ , giá 12,5 tỷ","Bán biệt thự rộng 230m2, P. Tân Phú Quận 9 cũ , giá 12,5 tỷ","Bán biệt thự rộng 230m2, Phường Tân Phú Quận 9 cũ",,P. Tân Phú,Quận 9 Cũ,Hồ Chí Minh,description,consistent,unclear,success,
109943,https://batdongsan.vn/ban-nha-mat-tien-duong-so-44-tan-tao-r280137,"Bình Tân, Hồ Chí Minh",Bán nhà mặt tiền đường số 44 Tân Tạo,mặt tiền đường số 44 Tân Tạo,mặt tiền đường số 44 Tân Tạo,,,Bình Tân,Hồ Chí Minh,title,consistent,street_only,success,
93445,https://batdongsan.vn/chu-ket-von-sang-lai-can-hxh-8m-duong-nguyen-cuu-van-p17-binh-thanh-4x18m-gia-75-ty-r263620,"Bình Thạnh, Hồ Chí Minh","Chủ kẹt vốn sang lại căn HXH 8m, đường Nguyễn Cửu Vân, P17 Bình Thạnh, 4x18m giá 7,5 tỷ",Hẻm xe hơi 8m đường Nguyễn Cửu Vân P17 quận Bình thạnh,Hẻm xe hơi 8m đường Nguyễn Cửu Vân P17 quận Bình thạnh,,,Bình Thạnh,Hồ Chí Minh,dedicated_address,consistent,alley_or_lane,success,
105273,https://batdongsan.vn/ban-nha-rieng-tai-trung-my-tay-quan-12-tp-hcm-64-m2-gia-595-ty-r275467,"Quận 12, Hồ Chí Minh","Bán nhà riêng tại Trung Mỹ Tây, Quận 12, Tp HCM, 64 m2, giá 5,95 tỷ","Bán nhà riêng tại Trung Mỹ Tây, Quận 12, Tp HCM, 64 m2, giá 5,95 tỷ","Bán nhà riêng tại Trung Mỹ Tây, Quận 12, Hồ Chí Minh, 64 m2",,,Quận 12,Hồ Chí Minh,description,consistent,unclear,success,
153120,https://batdongsan.vn/ban-nha-mat-tien-hem-huynh-tan-phat-quan-7-dt-6x20m-gia-chi-nhinh-6-ty-r153120,"Quận 7, Hồ Chí Minh","Bán nhà mặt tiền hẻm Huỳnh Tấn Phát, Quận 7 – DT 6x20m, giá chỉ nhỉnh 6 tỷ","Hẻm rộng, sạch đẹp – cách mặt tiền đường Huỳnh Tấn Phát chỉ vài bước chân","Hẻm rộng, sạch đẹp – cách mặt tiền đường Huỳnh Tấn Phát chỉ vài bước chân",Hẻm Rộng,,Quận 7,Hồ Chí Minh,dedicated_address,consistent,alley_or_lane,success,
85484,https://batdongsan.vn/hem-7m-xe-hoi-ngu-trong-nha-4-tang-btct-5pn-so-vuong-a4-75m2-chi-67-ty-r255649,"Bình Tân, Hồ Chí Minh","HẺM 7M - XE HƠI NGỦ TRONG NHÀ - 4 TẦNG BTCT - 5PN - SỔ VUÔNG A4 - 75M2 - CHỈ 6,7 TỶ.",HẺM 7M - XE HƠI NGỦ TRONG NHÀ - 4 TẦNG BTCT - 5PN - SỔ VUÔNG A4 - 75M2 - CHỈ 6,HẺM 7M - XE HƠI NGỦ TRONG NHÀ - 4 TẦNG BTCT - 5PN - SỔ VUÔNG A4 - 75M2 - CHỈ 6,Hẻm 7M,,Bình Tân,Hồ Chí Minh,title,consistent,alley_or_lane,success,
180039,https://batdongsan.vn/ban-nha-mat-tien-xo-viet-nghe-tinh-ngay-ung-van-khiem-6x51m-cap-4-1-doi-chu-60-ty-r180039,"Bình Thạnh, Hồ Chí Minh","Bán nhà Mặt tiền Xô Viết Nghệ Tĩnh - ngay Ung Văn Khiêm, 6x51m, Cấp 4, 1 đời chủ, 60 tỷ.",Mặt tiền Xô Viết Nghệ Tĩnh - ngay Ung Văn Khiêm,Mặt tiền Xô Viết Nghệ Tĩnh - ngay Ung Văn Khiêm,Mặt Tiền Xô Viết Nghệ Tĩnh,,Bình Thạnh,Hồ Chí Minh,title,consistent,street_only,success,
80570,https://batdongsan.vn/hiem-mat-tien-phan-van-tri-37x18-phuong-7-go-vap-r250719,"Gò Vấp, Hồ Chí Minh",Hiếm Mặt tiền Phan Văn Trị 3.7x18 Phường 7 Gò Vấp,Mặt tiền Phan Văn Trị 3.7x18 Phường 7 Gò Vấp,Mặt tiền Phan Văn Trị 3.7x18 Phường 7 Gò Vấp,Mặt Tiền Phan Văn Trị 3,,Gò Vấp,Hồ Chí Minh,title,consistent,street_and_ward,success,
