area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
100.0,2.0,1,14500.0,Hồ Chí Minh,Quận 7,5.29,4.61512051684126,10000.0,1.8389610707123492,529.0
62.0,5.0,0,6500.0,Hồ Chí Minh,Quận 4,2.12,4.143134726391533,3844.0,1.1378330018213911,131.44
40.0,2.0,0,4900.0,Hồ Chí Minh,Quận 12,11.96,3.713572066704308,1600.0,2.561867690924129,478.40000000000003
132.0,5.0,1,13700.0,Hồ Chí Minh,Quận 12,11.96,4.890349128221754,17424.0,2.561867690924129,1578.72
50.0,13.0,0,18800.0,Hà Nội,Cầu Giấy,6.65,3.9318256327243257,2500.0,2.0347056478384444,332.5
43.0,,0,15000.0,Hà Nội,Hai Bà Trưng,2.31,3.784189633918261,1849.0,1.1969481893889715,99.33
38.0,4.0,0,10300.0,Hà Nội,Nam Từ Liêm,9.46,3.6635616461296463,1444.0,2.347558458636777,359.48
62.0,4.0,0,12000.0,Hà Nội,Long Biên,4.08,4.143134726391533,3844.0,1.6253112615903906,252.96
58.0,4.0,0,15500.0,Hà Nội,Long Biên,4.08,4.07753744390572,3364.0,1.6253112615903906,236.64000000000001
52.0,3.0,0,5800.0,Hồ Chí Minh,Thủ Đức,9.91,3.970291913552122,2704.0,2.3896797998449792,515.32
50.0,4.0,0,10250.0,Hà Nội,Nam Từ Liêm,9.46,3.9318256327243257,2500.0,2.347558458636777,473.00000000000006
100.0,4.0,1,5200.0,Long An,Cần Giuộc,,4.61512051684126,10000.0,1.9300710850255671,589.0
65.0,7.0,1,8500.0,Hồ Chí Minh,Quận 11,5.68,4.189654742026425,4225.0,1.8991179875485542,369.2
72.0,4.0,0,5950.0,Hải Phòng,Hải An,,4.290459441148391,5184.0,1.9300710850255671,424.08
168.0,12.0,0,31000.0,Hồ Chí Minh,Quận 10,3.65,5.1298987149230735,28224.0,1.536867219599265,613.1999999999999
87.0,5.0,0,6900.0,Hải Phòng,Lê Chân,,4.477336814478207,7569.0,1.9300710850255671,512.43
50.0,4.0,0,6850.0,Hà Nội,Long Biên,4.08,3.9318256327243257,2500.0,1.6253112615903906,204.0
33.0,4.0,1,7850.0,Hà Nội,Hoàng Mai,5.66,3.5263605246161616,1089.0,1.8961194845522977,186.78
52.0,4.0,0,4800.0,Hải Phòng,Hải An,,3.970291913552122,2704.0,1.9300710850255671,306.28
45.0,3.0,0,21700.0,Hà Nội,Cầu Giấy,6.65,3.828641396489095,2025.0,2.0347056478384444,299.25
153.0,8.0,0,11900.0,Hồ Chí Minh,Thủ Đức,9.91,5.0369526024136295,23409.0,2.3896797998449792,1516.23
61.0,4.0,0,6000.0,Hồ Chí Minh,Gò Vấp,7.86,4.127134385045092,3721.0,2.1815467646169897,479.46000000000004
32.0,3.0,0,8800.0,Hà Nội,Tây Hồ,5.66,3.4965075614664802,1024.0,1.8961194845522977,181.12
63.0,3.0,1,8500.0,Hồ Chí Minh,Quận 1,0.15,4.1588830833596715,3969.0,0.1397619423751587,9.45
46.0,6.0,1,12000.0,Hà Nội,Ba Đình,3.18,3.8501476017100584,2116.0,1.430311246536665,146.28
48.0,4.0,1,4580.0,Hải Phòng,Lê Chân,,3.8918202981106265,2304.0,1.9300710850255671,282.71999999999997
35.0,3.0,0,4250.0,Hồ Chí Minh,Tân Bình,5.89,3.58351893845611,1225.0,1.9300710850255671,206.14999999999998
40.0,4.0,0,14800.0,Hà Nội,Tây Hồ,5.66,3.713572066704308,1600.0,1.8961194845522977,226.4
122.0,8.0,1,11680.0,Hà Nội,Đống Đa,3.27,4.812184355372417,14884.0,1.451613827240533,398.94
45.0,7.0,0,6900.0,Hà Nội,Hoài Đức,16.19,3.828641396489095,2025.0,2.844327819394758,728.5500000000001
54.0,3.0,0,6300.0,Hồ Chí Minh,Gò Vấp,7.86,4.007333185232471,2916.0,2.1815467646169897,424.44
27.0,3.0,0,10500.0,Hà Nội,Đống Đa,3.27,3.332204510175204,729.0,1.451613827240533,88.29
38.0,,0,7600.0,Hà Nội,Hoàng Mai,5.66,3.6635616461296463,1444.0,1.8961194845522977,215.08
